INSERT INTO `t_question` (`question_type`, `subject_id`, `score`, `correct`, `content`, `options`, `image`) VALUES
(1, 1, 10, 'B', '使用Java语言编写的源程序保存时的文件扩展名是（ ）。', 'A:.class,B:.java,C:.cpp,D:.txt', NULL),
(1, 1, 10, 'C', '若有定义：byte[] x={11,22,33,-66}; 其中0≤k≤3，则对x数组元素错误的引用是', 'A:x[5-3],B:x[k],C:x[k+5],D:x[0]', NULL),
(1, 1, 10, 'D', 'paint()方法使用哪种类型的参数?', 'A:Graphics,B:Graphics2D,C:String,D:Color', NULL),
(1, 1, 10, 'B', '以下哪个不是Java的原始数据类型', 'A:int,B:Boolean,C:float,D:char', NULL),
(1, 1, 10, 'C', '在Java中，一个类可同时定义许多同名的方法，这些方法的形式参数的个数、类型或顺序各不相同，传回的值也可以不相同。这种面向对象程序特性称为', 'A:隐藏,B:重写,C:重载,D:Java不支持此特性', NULL),
(1, 1, 10, 'A', '以下有关构造方法的说法，正确的是', 'A:一个类的构造方法可以有多个,B:构造方法在类定义时被调用,C:构造方法只能由对象中的其它方法调用,D:构造方法可以和类同名，也可以和类名不同', NULL),
(1, 1, 10, 'B', '在浏览器中执行applet 程序，以下选项中的哪个方法将被最先执行', 'A:init(),B:start(),C:destroy(),D:stop()', NULL),
(1, 1, 10, 'C', '给出下面代码，关于该程序以下哪个说法是正确的', 'A:编译时将产生错误,B:编译时正确，运行时将产生错误,C:输出零,D:输出空', NULL),
(1, 1, 10, 'D', '有以下方法的定义，请选择该方法的返回类型', 'A:byte,B:short,C:int,D:double', NULL),
(1, 1, 10, 'C', '下列类定义中哪些是合法的抽象类的定义？', 'A:abstract Animal{abstract void growl();},B:class abstract Animal{abstract void growl();},C:abstract class Animal{abstract void growl();},D:abstract class Animal{abstract void growl(){System.out.println(“growl”);};}', NULL),
(1, 1, 10, 'D', '有以下程序片段，下列哪个选项不能插入到行1', 'A:import java.awt.*;,B:package mypackage;,C:class OtherClass{ },D:public class MyClass{ }', NULL),
(1, 1, 10, 'B', '设有下面两个赋值语句： a = Integer.parseInt(“12”); b = Integer.valueOf(“12”).intValue(); 下述说法正确的是', 'A:a是整数类型变量，b是整数类对象。,B:a是整数类对象，b是整数类型变量。,C:a和b都是整数类对象并且值相等。,D:a和b都是整数类型变量并且值相等。', NULL),
(1, 1, 10, 'D', '在编写Java Applet程序时，需在程序的开头写上( )语句。', 'A:import java.awt.* ;,B:import java.applet.Applet ;,C:import java.io.* ;,D:import java.awt.Graphics ;', NULL),
(1, 1, 10, 'B', '下列哪一项不属于Swing的顶层容器？', 'A:JApplet,B:JTree,C:JDialog,D:JFrame', NULL),
(1, 1, 10, 'A', '为了使包ch4在当前程序中可见，可以使用的语句是', 'A:import ch4.;,B:package ch4.;,C:ch4 import;,D:ch4 package;', NULL),
(1, 1, 10, 'B', '请问所有的异常类皆继承哪一个类？', 'A:java.io.Exception,B:java.lang.Throwable,C:java.lang.Exception,D:java.lang.Error', NULL),
(1, 1, 10, 'C', '进行Java基本的GUI设计需要用到的包是', 'A:java.io,B:java.sql,C:java.awt,D:java.rmi', NULL),
(1, 1, 10, 'D', '当点击鼠标或者拖动鼠标时，触发的事件是下列的哪一个？', 'A:KeyEvent,B:ActionEvent,C:ItemEvent,D:MouseEvent', NULL),
(1, 1, 10, 'A', '如下哪个是Java中的标识符', 'A:fieldname,B:super,C:3number,D:#number', NULL),
(1, 1, 10, 'A', '设 x = 1 , y = 2 , z = 3，则表达式 y＋＝z－－/＋＋x 的值是', 'A:3,B:3.5,C:4,D:5', NULL),
(1, 1, 10, 'D', '下面的代码段执行之后count的值是什么', 'A:5,B:1,C:15,D:16', NULL),
(1, 1, 10, 'A', '为AB类的一个无形式参数无返回值的方法method书写方法头，使得使用类名AB作为前缏就可以调用它，该方法头的形式为', 'A:static void method( ),B:public void method( ),C:final void method( ),D:abstract void method( )', NULL),
(1, 1, 10, 'A', '下列程序段执行后的结果是', 'A:aceg,B:ACEG,C:abcdefg,D:abcd', NULL),
(1, 1, 10, 'B', '下面程序段执行后b的值是', 'A:9,B:true,C:1,D:false', NULL),
(1, 1, 10, 'B', '关于 for循环和 while循环的说法哪个正确？', 'A:while循环先判断后执行，for循环先执行后判断。,B:while循环判断条件一般是程序结果，for循环的判断条件一般是非程序结果,C:两种循环任何时候都不可以替换,D:两种循环结构中都必须有循环体，循环体不能为空', NULL),
(1, 1, 10, 'B', '关于对象成员占用内存的说法哪个正确？', 'A:同一个类的对象共用同一段内存,B:同一个类的对象使用不同的内存段，但静态成员共享相同的内存空间,C:对象的方法不占用内存,D:以上都不对', NULL),
(1, 1, 10, 'B', '关于继承的说法正确的是', 'A:子类将继承父类所有的属性和方法。,B:子类将继承父类的非私有属性和方法。,C:子类只继承父类public方法和属性,D:子类只继承父类的方法，而不继承属性', NULL),
(1, 1, 10, 'A', '覆盖与重载的关系是', 'A:覆盖只有发生在父类与子类之间，而重载可以发生在同一个类中,B:覆盖方法可以不同名，而重载方法必须同名,C:final修饰的方法可以被覆盖，但不能被重载,D:覆盖与重载是同一回事', NULL),
(1, 1, 10, 'D', '下面哪一个import命令可以为我们提供编写网络应用程序的类', 'A:import java.sql.;,B:import java.util.;,C:import java.io.;,D:import java.net.;', NULL),
(1, 1, 10, 'C', '如果容器组件p的布局是BorderLayout，则在p的下边中添加一个按钮b，应该使用的语句是', 'A:p.add(b);,B:p.add(b,“North”);,C:p.add(b,“South”);,D:b.add(p,“North”);', NULL),
(1, 1, 10, 'B', 'Frame对象默认的布局管理器是', 'A:FlowLayout,B:BorderLayout,C:CardLayout,D:null', NULL),
(1, 1, 10, 'A', '如果需要从文件中读取数据，则可以在程序中创建哪一个类的对象', 'A:FileInputStream,B:FileOutputStream,C:DataOutputStream,D:FileWriter', NULL),
(1, 1, 10, 'D', '下面的程序创建了一个文件输出流对象，用来向文件test.txt中输出数据，假设程序当前目录下不存在文件test.txt，编译下面的程序Test.java后，将该程序运行3次，则文件test.txt 的内容是', 'A:ABCABC,B:ABCDE,C:Test,D:ABCDE ABCDE ABCDE', NULL),
(1, 1, 10, 'B', '编译Java Application 源程序文件将产生相应的字节码文件，这些字节码文件的扩展名为', 'A:java,B:.class,C:html,D:.exe', NULL),
(1, 1, 10, 'A', '设 x = 1 , y = 2 , z = 3，则表达式 y＋＝z－－/＋＋x 的值是', 'A:3,B:3.5,C:4,D:5', NULL),
(1, 1, 10, 'C', '不允许作为类及类成员的访问控制符的是', 'A:public,B:private,C:static,D:protected', NULL),
(1, 1, 10, 'A', '为AB类的一个无形式参数无返回值的方法method书写方法头，使得使用类名AB作为前缏就可以调用它，该方法头的形式为', 'A:static void method( ),B:public void method( ),C:final void method( ),D:abstract void method( )', NULL),
(1, 1, 10, 'B', '关于选择结构下列哪个说法正确？', 'A:if语句和 else语句必须成对出现,B:if语句可以没有else语句对应,C:switch结构中每个case语句中必须用break语句,D:switch结构中必须有default语句', NULL),
(1, 1, 10, 'D', 'while循环和 do…while循环的区别是', 'A:没有区别，这两个结构任何情况下效果一样,B:while循环比 do…while循环执行效率高,C:while循环是先循环后判断，所以循环体至少被执行一次,D:do…while循环是先循环后判断，所以循环体至少被执行一次', NULL),
(1, 1, 10, 'A', '关于 for循环和 while循环的说法哪个正确？', 'A:while循环先判断后执行，for循环先执行后判断。,B:while循环判断条件一般是程序结果，for循环的判断条件一般是非程序结果,C:两种循环任何时候都不可以替换,D:两种循环结构中都必须有循环体，循环体不能为空', NULL),
(1, 1, 10, 'D', '下列修饰符中与访问控制无关的是', 'A:private,B:public,C:protected,D:final', NULL),
(1, 1, 10, 'A', 'void的含义', 'A:方法没有返回值,B:方法体为空,C:没有意义,D:定义方法时必须使用', NULL),
(1, 1, 10, 'C', 'return语句', 'A:只能让方法返回数值,B:方法都必须含有,C:方法中可以有多句return,D:不能用来返回对象', NULL),
(1, 1, 10, 'B', '关于对象成员占用内存的说法哪个正确？', 'A:同一个类的对象共用同一段内存,B:同一个类的对象使用不同的内存段，但静态成员共享相同的内存空间,C:对象的方法不占用内存,D:以上都不对', NULL),
(1, 1, 10, 'C', '下列说法哪个正确？', 'A:不需要定义类，就能创建对象,B:对象中必须有属性和方法,C:属性可以是简单变量，也可以是一个对象,D:属性必须是简单变量', NULL),
(1, 1, 10, 'A', '下列说法哪个正确？', 'A:一个程序可以包含多个源文件,B:一个源文件中只能有一个类,C:一个源文件中可以有多个公共类,D:一个源文件只能供一个程序使用', NULL),
(1, 1, 10, 'C', '关于方法main（）的说法哪个正确？', 'A:方法main（）只能放在公共类中,B:main()的头定义可以根据情况任意更改,C:一个类中可以没有main()方法,D:所有对象的创建都必须放在main()方法中', NULL),
(1, 1, 10, 'A', '构造函数何时被调用？', 'A:创建对象时,B:类定义时,C:使用对象的方法时,D:使用对象的属性时', NULL),
(1, 1, 10, 'C', '抽象方法', 'A:可以有方法体,B:可以出现在非抽象类中,C:是没有方法体的方法,D:抽象类中的方法都是抽象方法', NULL),
(1, 1, 10, 'B', '关于继承的说法正确的是', 'A:子类将继承父类所有的属性和方法。,B:子类将继承父类的非私有属性和方法。,C:子类只继承父类public方法和属性,D:子类只继承父类的方法，而不继承属性', NULL),
(1, 1, 10, 'C', '关于构造函数的说法哪个正确？', 'A:一个类只能有一个构造函数,B:一个类可以有多个不同名的构造函数,C:构造函数与类同名,D:构造函数必须自己定义，不能使用父类的构造函数', NULL),
(1, 1, 10, 'C', 'this和super', 'A:都可以用在main()方法中,B:都是指一个内存地址,C:不能用在main()方法中,D:意义相同', NULL),
(1, 1, 10, 'B', '关于super的说法正确的是', 'A:是指当前对象的内存地址,B:是指当前对象的父类对象的内存地址,C:是指当前对象的父类,D:可以用在main()方法中', NULL),
(1, 1, 10, 'A', '覆盖与重载的关系是', 'A:覆盖只有发生在父类与子类之间，而重载可以发生在同一个类中,B:覆盖方法可以不同名，而重载方法必须同名,C:final修饰的方法可以被覆盖，但不能被重载,D:覆盖与重载是同一回事', NULL),
(1, 1, 10, 'A', '关于接口哪个正确？', 'A:实现一个接口必须实现接口的所有方法,B:一个类只能实现一个接口,C:接口间不能有继承关系,D:接口和抽象类是同一回事', NULL),
(1, 1, 10, 'A', '异常包含下列哪些内容？', 'A:程序执行过程中遇到的事先没有预料到的情况,B:程序中的语法错误,C:程序的编译错误,D:以上都是', NULL),
(1, 1, 10, 'A', '对于已经被定义过可能抛出异常的语句，在编程时', 'A:必须使用try／catch语句处理异常，或用throws将其抛出,B:如果程序错误，必须使用 try／catch语句处理异常,C:可以置之不理,D:只能使用try／catch语句处理', NULL),
(1, 1, 10, 'D', '字符流与字节流的区别在于', 'A:前者带有缓冲，后者没有,B:前者是块读写，后者是字节读写,C:二者没有区别，可以互换使用,D:每次读写的字节数不同', NULL),
(1, 1, 10, 'D', '下列流中哪个不属于字节流', 'A:FileInputStream,B:BufferedInputStream,C:FilterInputStream,D:InputStreamReader', NULL),
(1, 1, 10, 'D', '在面向对象的方法中，一个对象请求另一个对象为其服务的方式是通过发送', 'A:调用语句,B:命令,C:口令,D:消息', NULL),
(1, 1, 10, 'B', 'Java语言具有许多优点和特点,下列选项中,哪个反映了Java程序并行机制的特点', 'A:安全性,B:多线程,C:跨平台,D:可移值', NULL),
(1, 1, 10, 'B', '编写和运行Java applet程序与编写和运行Java application程序不同的步骤是', 'A:编写源代码,B:编写HTML文件调用该小程序，以.html为扩展名存入相同文件夹,C:编译过程,D:解释执行', NULL),
(1, 1, 10, 'B', 'Java的字符类型采用的是Unicode编码方案，每个Unicode码占用____个比特位', 'A:8,B:16,C:32,D:64', NULL),
(1, 1, 10, 'D', '关于下列程序段的输出结果，说法正确的是', 'A:有错误，变量i没有初始化。,B:null,C:1,D:0', NULL),
(1, 1, 10, 'B', '下列代码的执行结果是', 'A:1,1,B:1,1.0,C:1.0,1,D:1.0,1.0', NULL),
(1, 1, 10, 'B', '下列程序段的输出结果是', 'A:true,B:false,C:1,D:0', NULL),
(1, 1, 10, 'D', '给出下列代码片段', 'A:x>0,B:x>-3,C:x<=-3,D:x<=0 &&x>-3', NULL),
(1, 1, 10, 'C', '若要把变量声名为暂时性变量，应使用如下哪种修饰符？', 'A:protected,B:provate,C:transient,D:volatile', NULL),
(1, 1, 10, 'C', '在Java中，一个类可同时定义许多同名的方法，这些方法的形式参数的个数、类型或顺序各不相同，传回的值也可以不相同，这种面向对象程序特性称为', 'A:隐藏,B:覆盖,C:重载,D:Java不支持此特性', NULL),
(1, 1, 10, 'B', '如要抛出异常，应用下列哪种子句？', 'A:catch,B:throws,C:try,D:finally', NULL),
(1, 1, 10, 'D', '在使用interface声明一个接口时，只可以使用____修饰符修饰该接口', 'A:private,B:protected,C:private protected,D:public', NULL),
(1, 1, 10, 'A', '下列代码的输出结果是', 'A:parent child child,B:parent child parent,C:parent child,D:编译错误', NULL),
(1, 1, 10, 'D', '为读取的内容进行处理后再输出，需要使用下列哪种流？', 'A:File stream,B:Pipe stream,C:Random stream,D:Filter stream', NULL),
(1, 1, 10, 'D', '为实现多线程之间的通信，需要使用下列哪种流才合适？', 'A:Filter stream,B:File stream,C:Random access stream,D:Piped stream', NULL),
(1, 1, 10, 'D', 'Swing与aWT的区别不包括', 'A:Swing是由纯Java实现的轻量级构件,B:Swing没有本地代码,C:Swing不依赖操作系统的支持,D:Swing支持图形用户界面', NULL),
(1, 1, 10, 'D', '在编写Java applet程序时，若需要对发生事件作出响应和处理，一般需要在程序的 开头写上____语句', 'A:import java.awt.;,B:import java.applet.;,C:import java.io.;,D:import java.awt.event.;', NULL),
(1, 1, 10, 'D', '注释的基本原则不包括', 'A:注释应该增加代码的清晰度,B:注释要简洁,C:在写代码之前写注释,D:尽量给每一条语句加注释', NULL),
(1, 1, 10, 'D', 'java.io包中定义了多个流类型来实现输入和输出功能，可以从不同的角度对其进行分类,按功能分为', 'A:输入流和输出流,B:字节流和字符流,C:节点流和处理流,D:以上选项都是', NULL);
